"Accident.Number","Date.and.Time","Number.of.Motor.Vehicles","Number.of.Injuries","Number.of.Fatalities","Property.Damage","Hit.and.Run","Collision.Type.Description","Weather.Description","Illumination.Description","Street.Address","City","Precinct","Latitude","Longitude","HarmfulDescriptions","Zip.Code","Year","Month","Season","Hour","Weekday","DayType","Accident","Fatality_category"
9.97024707494752e-314,2019-01-03 01:51:00,2,0,0,NA,"Y","ANGLE","RAIN","DARK - LIGHTED","HARDING PL & SEVEN MILE CREEK HARDING MA","NASHVILLE","SOUTH",36.07985,-86.72538,"MOTOR VEHICLE IN TRANSPORT","37211","2019","January","Winter","01","Thursday","Weekday","No Injuries","No Fatalities"
9.97025546615845e-314,2018-01-08 00:25:00,2,0,0,NA,"N","ANGLE","RAIN","DARK - LIGHTED","DICKERSON PKE & BELL GRIMES LN","MADISON","MADISO",36.26834,-86.75616,"MOTOR VEHICLE IN TRANSPORT","37115","2018","January","Winter","00","Monday","Weekday","No Injuries","No Fatalities"
9.97025547653382e-314,2018-01-08 00:23:00,2,0,0,NA,"N","SIDESWIPE - OPPOSITE DIRECTION","RAIN","DARK - LIGHTED","SAUNDERSVILLE RD & LEXINGTON WAY","HERMITAGE","HERMIT",36.22568,-86.59813,"MOTOR VEHICLE IN TRANSPORT","37076","2018","January","Winter","00","Monday","Weekday","No Injuries","No Fatalities"
9.9702555343395e-314,2018-01-08 01:23:00,2,2,0,NA,"N","SIDESWIPE - SAME DIRECTION","RAIN","DARK - LIGHTED","SMITH SPRINGS RD & SCENIC LAKE CT","ANTIOCH","SOUTH",36.08138,-86.59365,"MOTOR VEHICLE IN TRANSPORT","37013","2018","January","Winter","01","Monday","Weekday","Injuries","No Fatalities"
9.97025560746122e-314,2018-01-07 06:00:00,2,0,0,NA,"Y","UNKNOWN","RAIN","UNKNOWN","VINE HILL RD & HONEYSUCKLE RD","NASHVILLE","MIDTOW",36.13095,-86.76958,"PARKED MOTOR VEHICLE","37204","2018","January","Winter","06","Sunday","Weekend","No Injuries","No Fatalities"
9.97025566823129e-314,2018-01-08 04:44:00,1,0,0,NA,"N","NOT COLLISION W/MOTOR VEHICLE-TRANSPORT","RAIN","DARK - LIGHTED","HART LN & EDWARDS AV","NASHVILLE","EAST",36.21691,-86.7397,"MAIL BOX","37216","2018","January","Winter","04","Monday","Weekday","No Injuries","No Fatalities"
9.97025608818709e-314,2018-01-08 11:40:00,3,0,0,NA,"N","ANGLE","RAIN","DARK - LIGHTED","CANE RIDGE RD & BELL RD","ANTIOCH","SOUTH",36.04477,-86.66153,"MOTOR VEHICLE IN TRANSPORT","37013","2018","January","Winter","11","Monday","Weekday","No Injuries","No Fatalities"
9.97025615488596e-314,2018-01-08 12:39:00,2,0,0,NA,"N","ANGLE","RAIN","DAWN","HAMILTON CHURCH RD & MURFREESBORO PKE","ANTIOCH","SOUTH",36.06479,-86.62848,"MOTOR VEHICLE IN TRANSPORT;MOTOR VEHICLE IN TRANSPORT-OTHER ROADWAY","37013","2018","January","Winter","12","Monday","Weekday","No Injuries","No Fatalities"
9.97025615587409e-314,2018-01-08 12:45:00,1,0,0,NA,"N","NOT COLLISION W/MOTOR VEHICLE-TRANSPORT","RAIN","DAWN","PIN HOOK RD & GROVEDALE TRC","ANTIOCH","SOUTH",36.05001,-86.60576,"DEER (ANIMAL)","37013","2018","January","Winter","12","Monday","Weekday","No Injuries","No Fatalities"
9.97025616032068e-314,2018-01-08 12:55:00,2,0,0,NA,"N","Front to Rear","RAIN","DAYLIGHT","MM 207 6 I 40","NASHVILLE","NORTH",36.17085,-86.80389,"MOTOR VEHICLE IN TRANSPORT","37208","2018","January","Winter","12","Monday","Weekday","No Injuries","No Fatalities"
9.97025616229694e-314,2018-01-08 12:55:00,2,0,0,NA,"Y","Front to Rear","RAIN","DAYLIGHT","HILLSBORO PKE & HAMPTON PL","NASHVILLE","MIDTOW",36.11551,-86.81064,"MOTOR VEHICLE IN TRANSPORT","37215","2018","January","Winter","12","Monday","Weekday","No Injuries","No Fatalities"
9.97025617168419e-314,2018-01-08 12:50:00,2,0,0,NA,"N","Front to Rear","RAIN","DAYLIGHT","FARRELL PKWY & STILLWOOD DR","NASHVILLE","MIDTOW",36.07253,-86.76241,"MOTOR VEHICLE IN TRANSPORT","37220","2018","January","Winter","12","Monday","Weekday","No Injuries","No Fatalities"
9.97025644490249e-314,2018-01-08 06:00:00,1,0,0,NA,"N","NOT COLLISION W/MOTOR VEHICLE-TRANSPORT","RAIN","OTHER","MM 208 3 I 40","NASHVILLE","NORTH",36.16585,-86.7946,"MOTOR VEHICLE IN TRANSPORT;GUARDRAIL FACE","37203","2018","January","Winter","06","Monday","Weekday","No Injuries","No Fatalities"
9.97025694341473e-314,2018-01-08 06:00:00,2,0,0,NA,"Y","Front to Rear","RAIN","DARK - NOT LIGHTED","CLIFF DR & CLARKSVILLE PKE","NASHVILLE","NORTH",36.19269,-86.82873,"MOTOR VEHICLE IN TRANSPORT","37218","2018","January","Winter","06","Monday","Weekday","No Injuries","No Fatalities"
9.97025694687319e-314,2018-01-09 00:46:00,1,1,0,NA,"N","NOT COLLISION W/MOTOR VEHICLE-TRANSPORT","RAIN","DARK - LIGHTED","BROADWAY & 20TH AVS","NASHVILLE","MIDTOW",36.14962,-86.79802,"PEDESTRIAN","37203","2018","January","Winter","00","Tuesday","Weekday","Injuries","No Fatalities"
9.9702569582367e-314,2018-01-09 00:55:00,1,0,0,NA,"N","NOT COLLISION W/MOTOR VEHICLE-TRANSPORT","RAIN","DARK - LIGHTED","SHUTE LN & WILLOW BOUGH LN","OLD HICKORY","HERMIT",36.23084,-86.60982,"UTILITY POLE","37138","2018","January","Winter","00","Tuesday","Weekday","No Injuries","No Fatalities"
